,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
4449,0.70236,1.13354,1.15867,0.78315,1.13629,1.27850,0.96260,1.17243,0.94613,26.89,41.54,52.1,24.77,32.91,43.71,51,50,52.1
4450,0.72143,1.17092,1.15511,0.75912,1.09383,1.23024,0.89465,1.05753,0.94323,27.62,42.91,51.94,24.01,31.68,42.06,47.4,45.1,51.94
4451,0.77106,1.14118,1.10485,0.77019,1.03513,1.13869,0.90937,0.98062,0.90219,29.52,41.82,49.68,24.36,29.98,38.93,48.18,41.82,49.68
4452,0.70549,1.13435,1.08506,0.72972,1.01269,1.11412,0.85860,0.97476,0.88603,27.01,41.57,48.79,23.08,29.33,38.09,45.49,41.57,48.79
4453,0.67702,1.02602,1.13910,0.71834,1.02719,1.09510,0.86898,1.05519,0.93015,25.92,37.6,51.22,22.72,29.75,37.44,46.04,45,51.22
4454,0.68538,1.01729,1.08595,0.75944,1.01027,1.09335,0.90975,1.05519,0.88675,26.24,37.28,48.83,24.02,29.26,37.38,48.2,45,48.83
4455,0.69844,1.01592,1.03035,0.78220,1.05205,1.13781,0.96260,1.17243,0.90800,26.74,37.23,46.33,24.74,30.47,38.9,51,50,50
4456,0.76191,1.11607,0.93316,0.90583,1.13595,1.21415,0.96713,1.21792,0.88403,29.17,40.9,41.96,28.65,32.9,41.51,51.24,51.94,48.68
4457,0.85046,1.02220,1.07216,1.02945,1.24229,1.24369,0.98582,1.40692,0.88603,32.56,37.46,48.21,32.56,35.98,42.52,52.23,60,48.79
4458,0.88572,1.08605,1.08773,1.07213,1.32619,1.30307,1.09453,1.16891,0.93306,33.91,39.8,48.91,33.91,38.41,44.55,57.99,49.85,51.38
4459,0.91289,1.05467,0.98187,1.10501,1.33448,1.29137,1.15116,1.41630,0.96084,34.95,38.65,44.15,34.95,38.65,44.15,60.99,60.4,52.91
4460,0.91602,0.97035,0.97698,1.10881,1.22779,1.28493,1.24553,1.64140,0.91490,35.07,35.56,43.93,35.07,35.56,43.93,65.99,70,50.38
4461,1.09337,1.03448,1.09240,1.26405,1.20708,1.21854,1.03659,1.21933,0.89202,41.86,37.91,49.12,39.98,34.96,41.66,54.92,52,49.12
4462,0.96878,0.97990,1.04169,0.96590,1.17324,1.05503,0.97902,1.16891,0.85061,37.09,35.91,46.84,30.55,33.98,36.07,51.87,49.85,46.84
4463,0.76374,0.81672,0.89914,0.90994,1.03340,0.96611,0.94373,0.93794,0.85116,29.24,29.93,40.43,28.78,29.93,33.03,50,40,46.87
4464,0.64124,0.73677,0.73012,0.77620,0.93224,0.94213,0.85860,0.89105,0.79904,24.55,27,32.83,24.55,27,32.21,45.49,38,44
4465,0.54329,0.69475,0.73279,0.65763,0.87907,0.89562,0.81160,0.84415,0.72622,20.8,25.46,32.95,20.8,25.46,30.62,43,36,39.99
4466,0.44273,0.65163,0.66963,0.50397,0.82451,0.88070,0.79273,0.82422,0.72585,16.95,23.88,30.11,15.94,23.88,30.11,42,35.15,39.97
4467,0.49967,0.63935,0.64917,0.49038,0.80898,0.85380,0.78537,0.82422,0.72622,19.13,23.43,29.19,15.51,23.43,29.19,41.61,35.15,39.99
4468,0.62896,0.69065,0.71299,0.76134,0.87389,0.93774,0.80273,0.82422,0.74910,24.08,25.31,32.06,24.08,25.31,32.06,42.53,35.15,41.25
4469,0.77628,0.82627,0.82152,0.93966,1.04549,1.08048,0.98148,0.87792,0.82029,29.72,30.28,36.94,29.72,30.28,36.94,52,37.44,45.17
4470,1.12733,0.95344,0.94050,1.36459,1.20638,1.23696,1.03432,0.95506,0.85116,43.16,34.94,42.29,43.16,34.94,42.29,54.8,40.73,46.87
4471,1.30416,0.99491,1.07283,1.39747,1.25887,1.41100,1.41540,1.06855,0.87604,49.93,36.46,48.24,44.2,36.46,48.24,74.99,45.57,48.24
4472,1.31356,0.95644,1.20070,1.19986,1.21018,1.26007,1.50996,1.16399,0.98046,50.29,35.05,53.99,37.95,35.05,43.08,80,49.64,53.99
4473,1.28823,0.97936,1.18558,1.10628,1.12352,1.22439,1.28347,1.06855,0.96811,49.32,35.89,53.31,34.99,32.54,41.86,68,45.57,53.31
4474,1.25636,0.96408,1.20070,0.99530,1.08623,1.17086,1.50996,1.10185,0.98046,48.1,35.33,53.99,31.48,31.46,40.03,80,46.99,53.99
4475,1.36032,0.88603,1.20159,0.90804,0.98748,1.04450,1.17022,1.05519,0.89674,52.08,32.47,54.03,28.72,28.6,35.71,62,45,49.38
4476,1.43189,0.82409,1.09818,0.85714,0.91566,1.04567,1.22666,1.03174,0.89674,54.82,30.2,49.38,27.11,26.52,35.75,64.99,44,49.38
4477,1.57084,0.77306,1.10085,0.82299,0.84039,1.03953,1.41540,1.10373,0.89892,60.14,28.33,49.5,26.03,24.34,35.54,74.99,47.07,49.5
4478,1.52827,0.70812,1.07994,0.89255,0.76927,1.15594,1.62245,1.14242,0.88185,58.51,25.95,48.56,28.23,22.28,39.52,85.96,48.72,48.56
4479,1.54786,0.65682,1.09818,0.91942,0.76443,1.18753,1.61000,1.21933,0.89674,59.26,24.07,49.38,29.08,22.14,40.6,85.3,52,49.38
4480,1.29032,0.73486,1.06860,1.39146,0.79447,1.29605,1.58942,1.22331,0.87604,49.4,26.93,48.05,44.01,23.01,44.31,84.21,52.17,48.24
4481,1.37364,0.84074,1.18558,1.59697,0.84937,1.34168,1.50996,1.11920,0.96811,52.59,30.81,53.31,50.51,24.6,45.87,80,47.73,53.31
4482,1.69778,0.91059,1.19448,2.05510,0.95192,1.57099,1.50996,1.05519,0.97537,65,33.37,53.71,65,27.57,53.71,80,45,53.71
4483,1.69909,0.87348,1.10218,2.05669,0.92878,1.44961,1.32103,1.28850,0.96811,65.05,32.01,49.56,65.05,26.9,49.56,69.99,54.95,53.31
4484,1.56562,0.71821,1.02368,1.89512,0.82693,1.34636,1.41540,1.36002,0.96811,59.94,26.32,46.03,59.94,23.95,46.03,74.99,58,53.31
4485,1.61812,0.85411,1.18758,1.95867,0.79033,1.24925,1.16928,1.10208,0.96974,61.95,31.3,53.4,61.95,22.89,42.71,61.95,47,53.4
4486,1.40080,0.79025,1.13198,1.65958,0.65464,1.04158,1.09453,1.05519,0.92434,53.63,28.96,50.9,52.49,18.96,35.61,57.99,45,50.9
4487,1.34987,0.52338,0.99232,1.63397,0.28243,0.99917,1.14304,0.96280,0.87604,51.68,19.18,44.62,51.68,8.18,34.16,60.56,41.06,48.24
4488,1.06647,0.42705,0.72122,1.29092,0.31972,0.93803,1.02111,0.88190,0.85116,40.83,15.65,32.43,40.83,9.26,32.07,54.1,37.61,46.87
4489,1.01606,0.33728,0.68497,1.22990,0.28209,0.90089,0.99261,0.83688,0.79631,38.9,12.36,30.8,38.9,8.17,30.8,52.59,35.69,43.85
4490,0.91210,0.23877,0.68253,1.10407,0.20164,0.89767,0.97525,0.83454,0.74910,34.92,8.75,30.69,34.92,5.84,30.69,51.67,35.59,41.25
4491,0.92255,0.21066,0.65917,1.11671,0.16918,0.86696,0.97204,0.83641,0.74220,35.32,7.72,29.64,35.32,4.9,29.64,51.5,35.67,40.87
4492,1.01789,0.31627,0.68586,1.23211,0.37013,0.90206,0.97204,0.83688,0.74910,38.97,11.59,30.84,38.97,10.72,30.84,51.5,35.69,41.25
4493,1.25296,0.55394,0.79773,1.51667,0.69365,1.04918,1.01941,0.93349,0.82628,47.97,20.3,35.87,47.97,20.09,35.87,54.01,39.81,45.5
4494,1.62099,0.68683,0.93138,1.96215,0.84730,1.22497,1.28384,1.04510,0.87604,62.06,25.17,41.88,62.06,24.54,41.88,68.02,44.57,48.24
4495,1.69778,0.83910,1.01278,2.05510,0.83383,1.33203,1.60433,1.16071,0.97283,65,30.75,45.54,65,24.15,45.54,85,49.5,53.57
4496,1.64424,0.96462,1.01367,1.99029,0.69469,1.33320,1.71437,1.21534,0.96647,62.95,35.35,45.58,62.95,20.12,45.58,90.83,51.83,53.22
4497,1.48648,1.04349,0.99210,1.79932,0.45542,1.30482,1.71154,1.08637,0.88403,56.91,38.24,44.61,56.91,13.19,44.61,90.68,46.33,48.68
4498,1.49980,1.05085,1.05859,1.81545,0.45403,1.26680,1.76175,1.06433,0.86441,57.42,38.51,47.6,57.42,13.15,43.31,93.34,45.39,47.6
4499,1.48752,1.06368,1.05637,1.46545,0.32318,1.15975,1.41842,1.02377,0.86260,56.95,38.98,47.5,46.35,9.36,39.65,75.15,43.66,47.5
4500,1.43267,0.87321,0.99477,1.43541,0.28209,1.00706,1.50996,1.00219,0.85116,54.85,32,44.73,45.4,8.17,34.43,80,42.74,46.87
4501,1.39767,0.95153,0.98320,1.42308,0.08804,0.93745,1.52902,1.13843,0.87386,53.51,34.87,44.21,45.01,2.55,32.05,81.01,48.55,48.12
4502,1.39166,0.78480,0.95318,1.48442,0.31869,0.93131,1.69927,1.09435,0.90800,53.28,28.76,42.86,46.95,9.23,31.84,90.03,46.67,50
4503,1.34543,0.72804,0.84443,1.62859,0.40052,0.94769,1.76666,1.16891,0.96647,51.51,26.68,37.97,51.51,11.6,32.4,93.6,49.85,53.22
4504,1.41203,0.74905,0.84220,1.70921,0.50859,1.10768,1.72268,1.13210,0.99880,54.06,27.45,37.87,54.06,14.73,37.87,91.27,48.28,55
4505,1.48282,0.80608,0.90247,1.79490,0.80518,1.18695,1.71626,1.04229,1.05873,56.77,29.54,40.58,56.77,23.32,40.58,90.93,44.45,58.3
4506,1.50580,0.88276,0.95051,1.82272,0.97609,1.25013,1.50996,1.05519,1.14953,57.65,32.35,42.74,57.65,28.27,42.74,80,45,63.3
4507,1.29188,0.87103,0.92961,1.56378,1.01234,1.22263,1.35897,1.16891,1.14408,49.46,31.92,41.8,49.46,29.32,41.8,72,49.85,63
4508,1.17278,0.80772,0.89980,1.41960,1.02201,1.18344,1.48863,1.25216,1.08506,44.9,29.6,40.46,44.9,29.6,40.46,78.87,53.4,59.75
4509,1.28640,0.91987,1.12487,1.48790,1.09624,1.19894,1.24553,1.16891,1.02767,49.25,33.71,50.58,47.06,31.75,40.99,65.99,49.85,56.59
4510,1.00117,0.82955,0.91137,1.21188,0.99577,1.05035,1.10586,1.08145,0.90582,38.33,30.4,40.98,38.33,28.84,35.91,58.59,46.12,49.88
4511,0.74389,0.79380,0.82464,0.90045,1.00440,1.08457,1.30234,1.00524,0.99880,28.48,29.09,37.08,28.48,29.09,37.08,69,42.87,55
4512,0.73031,0.71821,0.77037,0.88401,0.88252,1.01321,1.16928,0.90488,0.90854,27.96,26.32,34.64,27.96,25.56,34.64,61.95,38.59,50.03
4513,0.75826,0.68192,0.71277,0.91784,0.83591,0.93745,1.11133,0.82117,0.87604,29.03,24.99,32.05,29.03,24.21,32.05,58.88,35.02,48.24
4514,0.66997,0.60333,0.68230,0.81098,0.76340,0.89738,1.06641,0.82117,0.85116,25.65,22.11,30.68,25.65,22.11,30.68,56.5,35.02,46.87
4515,0.66057,0.62707,0.66429,0.79959,0.79344,0.87368,1.06641,0.82117,0.85061,25.29,22.98,29.87,25.29,22.98,29.87,56.5,35.02,46.84
4516,0.65090,0.64781,0.64694,0.78790,0.81968,0.85087,1.05471,0.88143,0.83609,24.92,23.74,29.09,24.92,23.74,29.09,55.88,37.59,46.04
4517,0.86038,0.83501,0.66718,1.04146,1.05654,0.87749,1.06641,0.95858,0.84317,32.94,30.6,30,32.94,30.6,30,56.5,40.88,46.43
4518,0.99151,0.93543,0.71210,1.20018,1.18360,0.93657,1.30310,1.07864,0.85061,37.96,34.28,32.02,37.96,34.28,32.02,69.04,46,46.84
4519,1.07613,0.98263,0.76904,1.30262,1.23297,1.01145,1.50996,1.24278,0.85061,41.2,36.01,34.58,41.2,35.71,34.58,80,53,46.84
4520,1.10356,0.93270,0.81641,1.21631,1.08796,1.07375,1.66756,1.24043,0.85061,42.25,34.18,36.71,38.47,31.51,36.71,88.35,52.9,46.84
4521,0.97218,0.90759,0.79817,1.13568,0.99542,1.04977,1.69871,1.13257,0.85061,37.22,33.26,35.89,35.92,28.83,35.89,90,48.3,46.84
4522,1.05785,0.95644,0.78661,1.03799,0.99404,1.03456,1.73646,1.11826,0.82628,40.5,35.05,35.37,32.83,28.79,35.37,92,47.69,45.5
4523,1.29084,0.94470,0.73879,0.77999,0.92913,0.97167,1.45334,0.98836,0.80685,49.42,34.62,33.22,24.67,26.91,33.22,77,42.15,44.43
4524,1.23494,0.95425,0.69854,0.65732,0.89667,0.91873,1.53261,0.96843,0.78088,47.28,34.97,31.41,20.79,25.97,31.41,81.2,41.3,43
4525,1.21457,0.79189,0.67118,0.50176,0.85144,0.88275,1.66134,1.08333,0.77180,46.5,29.02,30.18,15.87,24.66,30.18,88.02,46.2,42.5
4526,0.98968,0.77470,0.66829,0.50081,0.87734,0.87895,1.72475,1.08614,0.80685,37.89,28.39,30.05,15.84,25.41,30.05,91.38,46.32,44.43
4527,0.85516,0.80990,0.69832,0.50271,0.93258,0.91844,1.78666,1.17243,0.83082,32.74,29.68,31.4,15.9,27.01,31.4,94.66,50,45.75
4528,0.80292,0.88740,0.73790,0.86694,1.05032,0.97050,1.69625,1.08309,0.85116,30.74,32.52,33.18,27.42,30.42,33.18,89.87,46.19,46.87
4529,1.04557,1.00037,0.82241,0.91911,1.19741,1.08165,1.61736,1.05964,0.99081,40.03,36.66,36.98,29.07,34.68,36.98,85.69,45.19,54.56
4530,1.08423,1.04785,0.89046,1.19544,1.30410,1.17115,1.46844,1.17243,1.10540,41.51,38.4,40.04,37.81,37.77,40.04,77.8,50,60.87
4531,1.02572,1.03448,0.88135,1.24160,1.30893,1.15916,1.45334,1.16586,1.16169,39.27,37.91,39.63,39.27,37.91,39.63,77,49.72,63.97
4532,0.99307,0.88658,0.88557,1.20208,1.12179,1.16472,1.50996,1.23879,1.19311,38.02,32.49,39.82,38.02,32.49,39.82,80,52.83,65.7
4533,1.39297,0.99682,0.93605,1.13600,1.26128,1.23111,1.35670,1.10443,1.00860,53.33,36.53,42.09,35.93,36.53,42.09,71.88,47.1,55.54
4534,1.10304,0.94252,0.88224,0.90077,1.13250,1.16033,1.14568,0.96866,0.92471,42.23,34.54,39.67,28.49,32.8,39.67,60.7,41.31,50.92
4535,0.99464,0.78098,0.71633,0.83690,0.98817,0.94213,1.50996,0.99891,0.87785,38.08,28.62,32.21,26.47,28.62,32.21,80,42.6,48.34
4536,0.89774,0.72858,0.69120,0.79770,0.91566,0.90908,1.39445,0.93818,0.85116,34.37,26.7,31.08,25.23,26.52,31.08,73.88,40.01,46.87
4537,0.78046,0.68329,0.66362,0.80339,0.86456,0.87281,1.24477,0.83665,0.72640,29.88,25.04,29.84,25.41,25.04,29.84,65.95,35.68,40
4538,0.53676,0.64017,0.64939,0.64973,0.81001,0.85409,1.19438,0.83055,0.69771,20.55,23.46,29.2,20.55,23.46,29.2,63.28,35.42,38.42
4539,0.56863,0.63253,0.65873,0.69874,0.80034,0.86637,1.19438,0.83454,0.69171,21.77,23.18,29.62,22.1,23.18,29.62,63.28,35.59,38.09
4540,0.63993,0.68274,0.65517,0.77462,0.86387,0.86169,1.14908,0.83641,0.69480,24.5,25.02,29.46,24.5,25.02,29.46,60.88,35.67,38.26
4541,1.00378,0.81863,0.65584,1.09110,1.03582,0.86257,1.30234,1.00829,0.67610,38.43,30,29.49,34.51,30,29.49,69,43,37.23
4542,1.27177,0.95480,0.66340,1.19228,1.20811,0.87251,1.34877,1.12624,0.72622,48.69,34.99,29.83,37.71,34.99,29.83,71.46,48.03,39.99
4543,1.30259,1.06422,0.66785,1.27922,1.33345,0.87836,1.56281,1.39894,0.72041,49.87,39,30.03,40.46,38.62,30.03,82.8,59.66,39.67
4544,1.06125,1.05031,0.69520,1.08952,1.21743,0.91434,1.72607,1.26740,0.72041,40.63,38.49,31.26,34.46,35.26,31.26,91.45,54.05,39.67
4545,1.05132,1.06532,0.69520,1.03419,1.15183,0.91434,1.60717,1.20526,0.72041,40.25,39.04,31.26,32.71,33.36,31.26,85.15,51.4,39.67
4546,1.05158,1.06859,0.72056,1.00510,1.13698,0.94769,1.73532,1.20526,0.70479,40.26,39.16,32.4,31.79,32.93,32.4,91.94,51.4,38.81
4547,1.20255,0.97336,0.71322,0.82267,1.04100,0.93803,1.46051,1.11733,0.70570,46.04,35.67,32.07,26.02,30.15,32.07,77.38,47.65,38.86
4548,1.12446,0.90950,0.68942,0.82331,0.96366,0.90674,1.50996,1.08098,0.70570,43.05,33.33,31,26.04,27.91,31,80,46.1,38.86
4549,1.25088,0.84865,0.66451,0.77240,0.91601,0.87398,1.56659,1.17946,0.70751,47.89,31.1,29.88,24.43,26.53,29.88,83,50.3,38.96
4550,1.05263,0.78452,0.68253,0.69810,0.89460,0.89767,1.62321,1.21464,0.72495,40.3,28.75,30.69,22.08,25.91,30.69,86,51.8,39.92
4551,1.07875,0.73513,0.69565,0.69589,0.93017,0.91493,1.69871,1.21534,0.77216,41.3,26.94,31.28,22.01,26.94,31.28,90,51.83,42.52
4552,1.01998,0.74714,0.75169,0.78568,0.94536,0.98864,1.69871,1.14968,0.82138,39.05,27.38,33.8,24.85,27.38,33.8,90,49.03,45.23
4553,0.98471,0.77879,0.81730,0.85145,0.98541,1.07492,1.60717,1.28498,0.86006,37.7,28.54,36.75,26.93,28.54,36.75,85.15,54.8,47.36
4554,1.17173,0.81290,0.90136,0.95388,1.02857,1.18549,1.61849,1.24278,0.87604,44.86,29.79,40.53,30.17,29.79,40.53,85.75,53,48.24
4555,1.21614,0.76679,0.90136,1.03482,0.97022,1.18549,1.60962,1.10115,0.94795,46.56,28.1,40.53,32.73,28.1,40.53,85.28,46.96,52.2
4556,0.97348,0.73431,0.90270,1.09648,0.92913,1.18724,1.60962,1.17243,1.03276,37.27,26.91,40.59,34.68,26.91,40.59,85.28,50,56.87
4557,1.19733,0.84428,0.94028,1.16730,0.96953,1.23667,1.50996,1.05753,0.94105,45.84,30.94,42.28,36.92,28.08,42.28,80,45.1,51.82
4558,1.20125,0.87048,0.89135,0.82520,0.84972,1.17232,1.32122,0.99891,0.86260,45.99,31.9,40.08,26.1,24.61,40.08,70,42.6,47.5
4559,0.98106,0.63608,0.72856,0.88622,0.71472,0.95822,1.32122,1.06691,0.89147,37.56,23.31,32.76,28.03,20.7,32.76,70,45.5,49.09
4560,0.80475,0.59869,0.66540,0.81920,0.64255,0.87515,1.17305,0.89152,0.81720,30.81,21.94,29.92,25.91,18.61,29.92,62.15,38.02,45
4561,0.69923,0.54030,0.65473,0.79106,0.60043,0.86111,1.06660,0.85869,0.76090,26.77,19.8,29.44,25.02,17.39,29.44,56.51,36.62,41.9
4562,0.66867,0.55203,0.65806,0.75976,0.65602,0.86550,1.03470,0.84321,0.71877,25.6,20.23,29.59,24.03,19,29.59,54.82,35.96,39.58
4563,0.62766,0.44807,0.65184,0.69905,0.59042,0.85731,1.03451,0.83055,0.71877,24.03,16.42,29.31,22.11,17.1,29.31,54.81,35.42,39.58
4564,0.64542,0.47262,0.68052,0.78126,0.58731,0.89504,1.03319,0.80429,0.76581,24.71,17.32,30.6,24.71,17.01,30.6,54.74,34.3,42.17
4565,0.80710,0.53266,0.84576,0.97696,0.62564,1.11236,1.04772,0.80874,0.88239,30.9,19.52,38.03,30.9,18.12,38.03,55.51,34.49,48.59
4566,1.11845,0.61234,0.97920,1.04810,0.77065,1.28786,1.18400,0.89245,0.90564,42.82,22.44,44.03,33.15,22.32,44.03,62.73,38.06,49.87
4567,1.06386,0.63280,1.11353,1.05601,0.75926,1.46453,1.41559,0.91590,0.98064,40.73,23.19,50.07,33.4,21.99,50.07,75,39.06,54
4568,1.04871,0.69557,1.11197,0.94788,0.75200,1.46248,1.46749,0.92387,0.98064,40.15,25.49,50,29.98,21.78,50,77.75,39.4,54
4569,0.96774,0.74277,1.08372,0.91942,0.58662,1.42533,1.41351,0.90277,0.99498,37.05,27.22,48.73,29.08,16.99,48.73,74.89,38.5,54.79
4570,1.04479,0.72586,1.08350,0.90519,0.58662,1.42504,1.41540,0.89316,0.99498,40,26.6,48.72,28.63,16.99,48.72,74.99,38.09,54.79
4571,1.15632,0.73677,1.06060,0.83279,0.52896,1.39491,1.22684,0.83618,0.89311,44.27,27,47.69,26.34,15.32,47.69,65,35.66,49.18
4572,1.15240,0.62080,1.03747,0.79959,0.31006,1.36449,1.32122,0.76771,0.90782,44.12,22.75,46.65,25.29,8.98,46.65,70,32.74,49.99
4573,1.20360,0.49800,0.98254,0.79517,0.40190,1.29225,1.34953,0.75809,0.99498,46.08,18.25,44.18,25.15,11.64,44.18,71.5,32.33,54.79
4574,1.11479,0.45161,0.95474,0.81951,0.38843,1.25568,1.41540,0.79116,1.18403,42.68,16.55,42.93,25.92,11.25,42.93,74.99,33.74,65.2
4575,1.04139,0.51246,0.90403,0.90045,0.58351,1.18900,1.39671,0.83711,1.15861,39.87,18.78,40.65,28.48,16.9,40.65,74,35.7,63.8
4576,1.08084,0.60033,0.91070,1.09490,0.75960,1.19777,1.41540,0.91872,1.06781,41.38,22,40.95,34.63,22,40.95,74.99,39.18,58.8
4577,1.10748,0.76188,0.92560,1.34056,0.96400,1.21737,1.43956,0.93794,1.01151,42.4,27.92,41.62,42.4,27.92,41.62,76.27,40,55.7
4578,1.31043,0.83583,0.95563,1.58622,1.05757,1.25685,1.41559,0.99938,1.06835,50.17,30.63,42.97,50.17,30.63,42.97,75,42.62,58.83
4579,1.20961,0.78070,0.89424,1.46418,1.04445,1.17613,1.42503,1.00829,1.03712,46.31,28.61,40.21,46.31,30.25,40.21,75.5,43,57.11
4580,1.17147,0.81481,0.86422,1.41802,1.03099,1.13664,1.42559,1.05519,1.03512,44.85,29.86,38.86,44.85,29.86,38.86,75.53,45,57
4581,1.22893,0.83528,0.88780,1.48758,1.05688,1.16764,1.41559,0.93794,0.91980,47.05,30.61,39.92,47.05,30.61,39.92,75,40,50.65
4582,1.14065,0.80772,0.84465,1.26152,0.96676,0.97840,1.18909,0.92387,0.89402,43.67,29.6,37.98,39.9,28,33.45,63,39.4,49.23
4583,1.11897,0.76324,0.68786,1.35447,0.80000,0.90469,1.05980,0.99328,0.89311,42.84,27.97,30.93,42.84,23.17,30.93,56.15,42.36,49.18
4584,0.93848,0.58887,0.67341,1.13600,0.64014,0.88568,1.01054,0.91215,0.78941,35.93,21.58,30.28,35.93,18.54,30.28,53.54,38.9,43.47
4585,0.86195,0.51656,0.65895,1.04336,0.51929,0.86666,0.92882,0.83055,0.72041,33,18.93,29.63,33,15.04,29.63,49.21,35.42,39.67
4586,0.76139,0.43087,0.64405,0.92164,0.41295,0.84707,0.89994,0.83055,0.71823,29.15,15.79,28.96,29.15,11.96,28.96,47.68,35.42,39.55
4587,0.75068,0.37548,0.64383,0.90867,0.38567,0.84678,0.89635,0.81695,0.72041,28.74,13.76,28.95,28.74,11.17,28.95,47.49,34.84,39.67
4588,0.74964,0.34028,0.66896,0.90741,0.34217,0.87983,0.86974,0.77849,0.72041,28.7,12.47,30.08,28.7,9.91,30.08,46.08,33.2,39.67
4589,0.79979,0.34710,0.76748,0.96811,0.36703,1.00940,0.84010,0.73183,0.78106,30.62,12.72,34.51,30.62,10.63,34.51,44.51,31.21,43.01
4590,0.81729,0.35747,0.92138,0.98930,0.34873,1.21210,0.83539,0.73722,0.90055,31.29,13.1,41.43,31.29,10.1,41.44,44.26,31.44,49.59
4591,0.84863,0.38012,0.98342,1.02724,0.42676,1.29342,0.84010,0.72972,1.03149,32.49,13.93,44.22,32.49,12.36,44.22,44.51,31.12,56.8
4592,0.92307,0.37794,0.96586,0.97096,0.36737,1.27031,0.91598,0.76958,1.16188,35.34,13.85,43.43,30.71,10.64,43.43,48.53,32.82,63.98
4593,0.99124,0.39595,0.93472,0.90551,0.26310,1.22936,0.97166,0.80874,1.19493,37.95,14.51,42.03,28.64,7.62,42.03,51.48,34.49,65.8
4594,1.01371,0.46471,0.92182,0.94472,0.31489,1.21240,0.87446,0.80874,1.19493,38.81,17.03,41.45,29.88,9.12,41.45,46.33,34.49,65.8
4595,1.05707,0.49909,0.88735,0.94566,0.23755,1.15302,0.84010,0.78740,0.98064,40.47,18.29,39.9,29.91,6.88,39.42,44.51,33.58,54
4596,0.94501,0.39322,0.88780,0.90298,-0.00276,1.05328,0.75706,0.74426,0.98064,36.18,14.41,39.92,28.56,-0.08,36.01,40.11,31.74,54
4597,0.88546,0.31818,0.81974,0.86820,-0.03107,1.00063,0.74705,0.75036,1.23851,33.9,11.66,36.86,27.46,-0.9,34.21,39.58,32,68.2
4598,0.78620,0.32254,0.77304,0.85682,0.13673,1.00677,0.77914,0.79725,1.32223,30.1,11.82,34.76,27.1,3.96,34.42,41.28,34,72.81
4599,0.72717,0.33891,0.78705,0.86915,0.35011,1.03514,0.84935,0.84438,1.23851,27.84,12.42,35.39,27.49,10.14,35.39,45,36.01,68.2
4600,0.80762,0.38831,0.83664,0.96116,0.67328,1.10037,0.87030,0.91192,1.23851,30.92,14.23,37.62,30.4,19.5,37.62,46.11,38.89,68.2
4601,0.97401,0.50919,0.88935,1.16414,0.83487,1.16969,0.93938,0.93794,1.21853,37.29,18.66,39.99,36.82,24.18,39.99,49.77,40,67.1
4602,1.04218,0.76133,0.92471,1.26152,1.03340,1.21620,1.09472,1.05519,1.26085,39.9,27.9,41.58,39.9,29.93,41.58,58,45,69.43
4603,1.04610,0.74796,0.90514,1.26626,1.06724,1.19046,1.13247,1.05519,1.27120,40.05,27.41,40.7,40.05,30.91,40.7,60,45,70
4604,1.09755,0.76160,0.86600,1.32855,1.06758,1.13898,1.16928,1.17243,1.27120,42.02,27.91,38.94,42.02,30.92,38.94,61.95,50,70
4605,1.20046,0.85929,0.87534,1.43604,1.08727,1.15126,1.07566,1.18626,1.11684,45.96,31.49,39.36,45.42,31.49,39.36,56.99,50.59,61.5
4606,1.21979,0.86311,0.76170,1.26500,1.02926,1.00180,0.97317,1.05753,0.91980,46.7,31.63,34.25,40.01,29.81,34.25,51.56,45.1,50.65
4607,0.91419,0.71057,0.71811,1.10659,0.71126,0.94447,1.04112,0.95319,0.90564,35,26.04,32.29,35,20.6,32.29,55.16,40.65,49.87
4608,0.78229,0.61316,0.67029,0.94693,0.70988,0.88158,0.98148,0.83055,0.88984,29.95,22.47,30.14,29.95,20.56,30.14,52,35.42,49
4609,0.74415,0.60142,0.64717,0.90077,0.72784,0.85116,0.89843,0.81578,0.81393,28.49,22.04,29.1,28.49,21.08,29.1,47.6,34.79,44.82
4610,0.70602,0.54466,0.63427,0.85461,0.68917,0.83420,0.87314,0.80945,0.78469,27.03,19.96,28.52,27.03,19.96,28.52,46.26,34.52,43.21
4611,0.71673,0.53948,0.63227,0.86757,0.68261,0.83157,0.88276,0.81859,0.78506,27.44,19.77,28.43,27.44,19.77,28.43,46.77,34.91,43.23
4612,0.66919,0.60306,0.65161,0.81003,0.76305,0.85701,0.93165,0.83055,0.78506,25.62,22.1,29.3,25.62,22.1,29.3,49.36,35.42,43.23
4613,0.65430,0.75505,0.73723,0.79201,0.95537,1.01701,0.88276,0.92434,0.81938,25.05,27.67,33.15,25.05,27.67,34.77,46.77,39.42,45.12
4614,0.62870,0.87403,0.88668,0.76102,1.10591,1.16823,0.84010,1.07629,1.34384,24.07,32.03,39.87,24.07,32.03,39.94,44.51,45.9,74
4615,0.62426,0.89886,0.97875,0.75565,1.13733,1.28727,0.81293,1.38581,1.61006,23.9,32.94,44.01,23.9,32.94,44.01,43.07,59.1,88.66
4616,0.62922,0.88003,0.98543,0.76165,1.03409,1.29605,0.83123,1.33657,1.36200,24.09,32.25,44.31,24.09,29.95,44.31,44.04,57,75
