,FR [EUR/EURavg],,,DE  [EUR/EURavg],,,IT  [EUR/EURavg],,,FR-real [EUR/MWh],,,DE-real [EUR/MWh],,,IT-real [EUR/MWh],,
115,1.17615,1.17119,1.99109,1.55650,1.44117,1.90561,1.16078,1.30140,1.18312,,42.92,89.53,49.23,41.74,65.15,61.5,55.5,65.15
116,1.05092,1.04649,1.63882,1.40126,1.25921,1.87899,1.05603,1.24254,1.16660,,38.35,73.69,44.32,36.47,64.24,55.95,52.99,64.24
117,0.94322,0.93925,1.59412,1.26468,1.13975,1.26036,0.94863,1.09435,1.14953,,34.42,71.68,40,33.01,43.09,50.26,46.67,63.3
118,0.90404,0.90022,1.48470,1.10912,1.09624,1.55345,0.95373,1.01955,1.13681,,32.99,66.76,35.08,31.75,53.11,50.53,43.48,62.6
119,0.87691,0.87321,1.53896,0.94946,0.93189,1.08457,0.96260,0.92059,1.18966,,32,69.2,30.03,26.99,37.08,51,39.26,65.51
120,1.19002,0.72640,1.32502,0.94914,0.91912,1.19455,0.93957,0.94334,0.98827,45.56,26.62,59.58,30.02,26.62,40.84,49.78,40.23,54.42
121,1.05210,0.69802,1.20048,0.96653,0.88321,1.20362,0.85332,0.86947,0.96756,40.28,25.58,53.98,30.57,25.58,41.15,45.21,37.08,53.28
122,1.02389,0.67101,1.15889,0.95641,0.84903,1.28025,0.73233,0.84603,0.92343,39.2,24.59,52.11,30.25,24.59,43.77,38.8,36.08,50.85
123,0.94606,0.61398,1.07060,0.95768,0.77686,1.16911,0.66061,0.83500,0.87422,36.22,22.5,48.14,30.29,22.5,39.97,35,35.61,48.14
124,0.88912,0.63199,1.03947,0.96843,0.79965,1.19368,0.63098,0.82516,0.84880,34.04,23.16,46.74,30.63,23.16,40.81,33.43,35.19,46.74
125,1.00770,0.68192,1.07661,0.93713,0.86284,1.25890,0.70930,0.85025,0.87912,38.58,24.99,48.41,29.64,24.99,43.04,37.58,36.26,48.41
126,1.13151,0.72640,1.18514,0.93808,0.91912,1.32705,0.82104,0.96679,0.96774,43.32,26.62,53.29,29.67,26.62,45.37,43.5,41.23,53.29
127,1.30599,1.06204,1.62970,1.22737,0.96780,1.44756,0.98148,1.10748,1.12592,50,38.92,73.28,38.82,28.03,49.49,52,47.23,62
128,1.29371,1.14500,1.91325,1.28871,1.01303,1.75263,0.98148,1.13022,1.08815,49.53,41.96,86.03,40.76,29.34,59.92,52,48.2,59.92
129,1.32871,1.11771,1.69331,1.26531,1.13733,1.75497,0.96336,1.19588,1.08960,50.87,40.96,76.14,40.02,32.94,60,51.04,51,60
130,1.32845,1.06777,1.62036,1.07466,1.30203,1.75614,0.94901,1.28709,1.14589,50.86,39.13,72.86,33.99,37.71,60.04,50.28,54.89,63.1
131,1.31043,1.09370,1.66973,0.98708,1.38385,1.68770,0.92674,1.24559,1.08143,50.17,40.08,75.08,31.22,40.08,57.7,49.1,53.12,59.55
132,1.25296,1.11143,1.88812,0.95041,1.40630,1.54613,0.90541,1.12553,1.12592,47.97,40.73,84.9,30.06,40.73,52.86,47.97,48,62
133,1.18061,1.04403,1.57877,0.94819,1.32102,1.46394,0.85143,0.97734,0.98990,45.2,38.26,70.99,29.99,38.26,50.05,45.11,41.68,54.51
134,1.08266,0.96708,1.52406,0.97159,1.22365,1.48997,0.85766,1.09388,1.14589,41.45,35.44,68.53,30.73,35.44,50.94,45.44,46.65,63.1
135,1.04688,1.00747,1.45935,1.18184,1.27475,1.58065,0.99072,1.07184,1.13700,40.08,36.92,65.62,37.38,36.92,54.04,52.49,45.71,62.61
136,1.13934,1.12644,1.47247,1.27480,1.42529,1.68244,1.09265,1.16328,1.14589,43.62,41.28,66.21,40.32,41.28,57.52,57.89,49.61,63.1
137,1.26811,1.22659,1.57922,1.45312,1.55200,1.89859,1.20759,1.40082,1.28954,48.55,44.95,71.01,45.96,44.95,64.91,63.98,59.74,71.01
138,1.36659,1.27980,3.76557,1.44521,1.61933,1.75263,1.15323,1.43505,1.31297,52.32,46.9,169.32,45.71,46.9,59.92,61.1,61.2,72.3
139,1.38696,1.19930,2.39852,1.25108,1.51748,1.69618,1.11681,1.35674,1.45098,53.1,43.95,107.85,39.57,43.95,57.99,59.17,57.86,79.9
140,1.27412,1.08987,1.89413,1.04083,1.37902,1.27762,1.03810,1.30890,1.30752,48.78,39.94,85.17,32.92,39.94,43.68,55,55.82,72
