Hour,Load [MW],,,Load factor [MW/MWavg],,,Load factor [MW/MWh-year],,
2517,6543,6849,5497,0.9236,0.9581,0.7925,0.000105429,0.00010937,9.0469E-05
2518,5997,6415,5398,0.8465,0.8974,0.7782,9.66308E-05,0.00010244,8.88397E-05
2519,5770,6198,5338,0.8144,0.8670,0.7696,9.29731E-05,9.89743E-05,8.78522E-05
2520,5796,6185,5272,0.8181,0.8652,0.7601,9.33921E-05,9.87667E-05,8.6766E-05
2521,5749,6370,5324,0.8115,0.8911,0.7676,9.26347E-05,0.000101721,8.76218E-05
2522,5718,6381,5413,0.8071,0.8926,0.7804,9.21352E-05,0.000101897,8.90865E-05
2523,5630,6242,5521,0.7947,0.8732,0.7960,9.07173E-05,9.96769E-05,9.0864E-05
2524,6124,6385,5513,0.8644,0.8932,0.7948,9.86772E-05,0.00010196,9.07323E-05
2525,6675,6921,5487,0.9422,0.9682,0.7911,0.000107556,0.00011052,9.03044E-05
2526,7251,7670,5491,1.0235,1.0729,0.7916,0.000116837,0.00012248,9.03702E-05
2527,7614,8186,5763,1.0747,1.1451,0.8309,0.000122686,0.00013072,9.48468E-05
2528,7690,8260,5738,1.0855,1.1555,0.8273,0.00012391,0.000131902,9.44353E-05
2529,7779,8443,5443,1.0980,1.1811,0.7847,0.000125345,0.000134824,8.95803E-05
2530,7922,8574,5479,1.1182,1.1994,0.7899,0.000127649,0.000136916,9.01728E-05
2531,7449,8035,5492,1.0514,1.1240,0.7918,0.000120027,0.000128309,9.03867E-05
2532,7501,8017,5581,1.0588,1.1215,0.8046,0.000120865,0.000128021,9.18515E-05
2533,7403,7927,5482,1.0449,1.1089,0.7903,0.000119286,0.000126584,9.02221E-05
2534,7282,7683,5794,1.0279,1.0747,0.8353,0.000117336,0.000122688,9.5357E-05
2535,7196,7605,5716,1.0157,1.0638,0.8241,0.000115951,0.000121442,9.40733E-05
2536,7076,7656,5783,0.9988,1.0710,0.8337,0.000114017,0.000122257,9.5176E-05
2537,7135,7300,5757,1.0071,1.0212,0.8300,0.000114968,0.000116572,9.4748E-05
2538,6996,7270,5623,0.9875,1.0170,0.8107,0.000112728,0.000116093,9.25427E-05
2539,6934,7189,5624,0.9787,1.0056,0.8108,0.000111729,0.000114799,9.25591E-05
2540,6810,6931,5420,0.9612,0.9696,0.7814,0.000109731,0.000110679,8.92017E-05
2541,6516,6751,5357,0.9197,0.9444,0.7723,0.000104994,0.000107805,8.81649E-05
2542,6026,6373,5249,0.8506,0.8915,0.7568,9.70981E-05,0.000101769,8.63874E-05
2543,5735,6332,5777,0.8095,0.8858,0.8329,9.24092E-05,0.000101114,9.50772E-05
2544,5540,6536,5758,0.7820,0.9143,0.8301,8.92671E-05,0.000104372,9.47645E-05
2545,5439,6483,5883,0.7677,0.9069,0.8482,8.76397E-05,0.000103525,9.68217E-05
2546,5638,6362,5960,0.7958,0.8900,0.8593,9.08462E-05,0.000101593,9.8089E-05
2547,5549,6270,5930,0.7833,0.8771,0.8549,8.94121E-05,0.000100124,9.75953E-05
2548,5767,6308,5810,0.8140,0.8824,0.8376,9.29248E-05,0.000100731,9.56203E-05
2549,6554,6334,5915,0.9251,0.8860,0.8528,0.000105606,0.000101146,9.73484E-05
2550,7263,6330,5789,1.0252,0.8855,0.8346,0.00011703,0.000101082,9.52747E-05
2551,7842,6570,5781,1.1069,0.9191,0.8335,0.00012636,0.000104915,9.5143E-05
2552,8014,7028,5875,1.1312,0.9831,0.8470,0.000129131,0.000112228,9.66901E-05
2553,8256,7138,6142,1.1653,0.9985,0.8855,0.000133031,0.000113985,0.000101084
2554,8447,7152,6165,1.1923,1.0005,0.8888,0.000136108,0.000114208,0.000101463
2555,7983,7045,6290,1.1268,0.9855,0.9068,0.000128632,0.0001125,0.00010352
2556,7894,7111,6168,1.1143,0.9947,0.8892,0.000127198,0.000113554,0.000101512
2557,7724,7116,6079,1.0903,0.9954,0.8764,0.000124458,0.000113634,0.000100047
2558,7538,7005,6100,1.0640,0.9799,0.8794,0.000121461,0.000111861,0.000100393
2559,7292,6972,6262,1.0293,0.9753,0.9028,0.000117497,0.000111334,0.000103059
2560,7233,6983,6391,1.0209,0.9768,0.9214,0.000116547,0.00011151,0.000105182
2561,7294,6862,6259,1.0296,0.9599,0.9024,0.00011753,0.000109578,0.00010301
2562,7174,6348,5683,1.0126,0.8880,0.8193,0.000115596,0.00010137,9.35302E-05
2563,7073,6328,5712,0.9984,0.8852,0.8235,0.000113969,0.00010105,9.40074E-05
2564,6853,6247,5618,0.9673,0.8739,0.8100,0.000110424,9.97568E-05,9.24604E-05
2565,6659,6153,5612,0.9399,0.8607,0.8091,0.000107298,9.82557E-05,9.23617E-05
2566,6268,5967,5469,0.8847,0.8347,0.7885,0.000100997,9.52855E-05,9.00082E-05
2567,6096,6267,5677,0.8605,0.8767,0.8185,9.8226E-05,0.000100076,9.34314E-05
2568,6221,6156,5730,0.8781,0.8611,0.8261,0.00010024,9.83036E-05,9.43037E-05
2569,6194,5993,5796,0.8743,0.8383,0.8356,9.98051E-05,9.57007E-05,9.53899E-05
2570,6199,6113,5810,0.8750,0.8551,0.8376,9.98857E-05,9.7617E-05,9.56203E-05
2571,5972,6053,5744,0.8430,0.8467,0.8281,9.6228E-05,9.66588E-05,9.45341E-05
2572,5972,6074,5913,0.8430,0.8497,0.8525,9.6228E-05,9.69942E-05,9.73155E-05
2573,6110,6020,6143,0.8624,0.8421,0.8856,9.84516E-05,9.61319E-05,0.000101101
2574,6186,5916,6763,0.8732,0.8276,0.9750,9.96762E-05,9.44711E-05,0.000111305
2575,6250,6144,7148,0.8822,0.8595,1.0305,0.000100707,9.8112E-05,0.000117641
2576,6776,6269,7192,0.9564,0.8769,1.0369,0.000109183,0.000100108,0.000118365
2577,6996,6540,7261,0.9875,0.9149,1.0468,0.000112728,0.000104436,0.000119501
2578,7119,6789,7341,1.0049,0.9497,1.0584,0.00011471,0.000108412,0.000120817
2579,7083,6898,7043,0.9998,0.9649,1.0154,0.00011413,0.000110152,0.000115913
2580,7043,6868,7057,0.9941,0.9607,1.0174,0.000113485,0.000109673,0.000116143
2581,6925,6736,6951,0.9775,0.9423,1.0021,0.000111584,0.000107565,0.000114399
2582,6747,6845,6952,0.9523,0.9575,1.0023,0.000108716,0.000109306,0.000114415
2583,6606,6832,6891,0.9324,0.9557,0.9935,0.000106444,0.000109098,0.000113411
2584,6618,6763,6758,0.9341,0.9461,0.9743,0.000106637,0.000107997,0.000111222
2585,6668,6883,6771,0.9412,0.9628,0.9762,0.000107443,0.000109913,0.000111436
2586,6387,6717,6696,0.9015,0.9396,0.9654,0.000102915,0.000107262,0.000110202
2587,6385,6648,6734,0.9013,0.9300,0.9708,0.000102883,0.00010616,0.000110827
2588,6434,6432,6629,0.9082,0.8997,0.9557,0.000103672,0.000102711,0.000109099
2589,6346,6285,6436,0.8957,0.8792,0.9279,0.000102254,0.000100364,0.000105923
2590,6150,5984,6110,0.8681,0.8371,0.8809,9.90961E-05,9.5557E-05,0.000100558
2591,6156,6113,5858,0.8689,0.8551,0.8446,9.91928E-05,9.7617E-05,9.64103E-05
2592,6014,6290,5866,0.8489,0.8799,0.8457,9.69047E-05,0.000100443,9.6542E-05
2593,5987,6331,5938,0.8451,0.8856,0.8561,9.64697E-05,0.000101098,9.77269E-05
2594,5918,6444,5999,0.8353,0.9014,0.8649,9.53579E-05,0.000102903,9.87309E-05
2595,5837,6455,5884,0.8239,0.9030,0.8483,9.40527E-05,0.000103078,9.68382E-05
2596,5866,6586,6204,0.8280,0.9213,0.8944,9.452E-05,0.00010517,0.000102105
2597,5716,6935,6661,0.8068,0.9701,0.9603,9.2103E-05,0.000110743,0.000109626
2598,5558,7729,7208,0.7845,1.0812,1.0392,8.95571E-05,0.000123422,0.000118628
2599,5739,8287,7588,0.8101,1.1592,1.0940,9.24736E-05,0.000132333,0.000124882
2600,5973,8420,7629,0.8431,1.1778,1.0999,9.62441E-05,0.000134457,0.000125557
2601,6124,8578,7728,0.8644,1.1999,1.1142,9.86772E-05,0.00013698,0.000127187
2602,6273,8693,7789,0.8854,1.2160,1.1229,0.000101078,0.000138816,0.00012819
2603,6372,8383,7536,0.8994,1.1727,1.0865,0.000102673,0.000133866,0.000124027
2604,6187,8518,7515,0.8733,1.1916,1.0834,9.96923E-05,0.000136022,0.000123681
2605,5965,8319,7397,0.8420,1.1637,1.0664,9.61152E-05,0.000132844,0.000121739
2606,5742,8239,7333,0.8105,1.1525,1.0572,9.25219E-05,0.000131567,0.000120686
2607,5771,8131,7398,0.8146,1.1374,1.0666,9.29892E-05,0.000129842,0.000121755
2608,5879,7884,7187,0.8298,1.1029,1.0362,9.47295E-05,0.000125898,0.000118283
2609,6135,7914,7114,0.8660,1.1071,1.0256,9.88544E-05,0.000126377,0.000117081
2610,5960,7783,7080,0.8413,1.0887,1.0207,9.60346E-05,0.000124285,0.000116522
2611,6208,7636,7065,0.8763,1.0682,1.0186,0.000100031,0.000121937,0.000116275
2612,6336,7405,6911,0.8943,1.0359,0.9964,0.000102093,0.000118249,0.00011374
2613,6220,7108,6701,0.8780,0.9943,0.9661,0.000100224,0.000113506,0.000110284
2614,6081,6689,6390,0.8583,0.9357,0.9213,9.79843E-05,0.000106815,0.000105166
2615,5784,6577,6175,0.8164,0.9200,0.8903,9.31987E-05,0.000105026,0.000101627
2616,5876,6697,6232,0.8294,0.9368,0.8985,9.46811E-05,0.000106943,0.000102566
2617,5834,6661,6558,0.8235,0.9318,0.9455,9.40044E-05,0.000106368,0.000107931
2618,5928,6798,6429,0.8367,0.9509,0.9269,9.5519E-05,0.000108556,0.000105808
2619,5966,6584,6256,0.8421,0.9210,0.9019,9.61313E-05,0.000105138,0.000102961
2620,6315,6642,6428,0.8914,0.9291,0.9267,0.000101755,0.000106064,0.000105791
2621,6932,7261,6857,0.9785,1.0157,0.9886,0.000111697,0.000115949,0.000112852
2622,7450,7921,7314,1.0516,1.1080,1.0545,0.000120043,0.000126488,0.000120373
2623,7787,8262,7577,1.0991,1.1557,1.0924,0.000125473,0.000131934,0.000124701
2624,7747,8255,7576,1.0935,1.1548,1.0922,0.000124829,0.000131822,0.000124685
2625,7804,8275,7564,1.1015,1.1576,1.0905,0.000125747,0.000132141,0.000124487
2626,7971,8326,7534,1.1251,1.1647,1.0862,0.000128438,0.000132956,0.000123994
2627,7509,7738,7234,1.0599,1.0824,1.0429,0.000120994,0.000123566,0.000119056
2628,7493,7654,7200,1.0576,1.0707,1.0380,0.000120736,0.000122225,0.000118497
2629,7336,7469,6978,1.0355,1.0448,1.0060,0.000118206,0.000119271,0.000114843
2630,7140,7432,6906,1.0078,1.0396,0.9956,0.000115048,0.00011868,0.000113658
2631,6960,7414,6883,0.9824,1.0371,0.9923,0.000112148,0.000118392,0.00011328
2632,6758,6997,6540,0.9539,0.9788,0.9429,0.000108893,0.000111733,0.000107635
2633,6783,7051,6623,0.9574,0.9863,0.9548,0.000109296,0.000112596,0.000109001
2634,6623,7008,6642,0.9348,0.9803,0.9576,0.000106718,0.000111909,0.000109313
2635,6756,7065,6805,0.9536,0.9883,0.9811,0.000108861,0.000112819,0.000111996
2636,6815,7114,6807,0.9619,0.9952,0.9814,0.000109811,0.000113602,0.000112029
2637,6568,6875,6623,0.9271,0.9617,0.9548,0.000105831,0.000109785,0.000109001
2638,6064,6475,6320,0.8559,0.9058,0.9112,9.77104E-05,0.000103398,0.000104014
2639,5797,6277,6127,0.8183,0.8781,0.8833,9.34082E-05,0.000100236,0.000100837
2640,5730,6430,6049,0.8088,0.8995,0.8721,9.23286E-05,0.000102679,9.95537E-05
2641,5803,6614,6188,0.8191,0.9252,0.8921,9.35049E-05,0.000105617,0.000101841
2642,5884,6804,6199,0.8305,0.9518,0.8937,9.481E-05,0.000108651,0.000102022
2643,5725,6623,6354,0.8081,0.9265,0.9161,9.2248E-05,0.000105761,0.000104573
2644,6197,6600,6250,0.8747,0.9232,0.9011,9.98535E-05,0.000105394,0.000102862
2645,6864,7125,6845,0.9689,0.9967,0.9869,0.000110601,0.000113777,0.000112654
2646,7467,7693,7232,1.0540,1.0761,1.0426,0.000120317,0.000122848,0.000119023
2647,7804,7965,7422,1.1015,1.1142,1.0700,0.000125747,0.000127191,0.00012215
2648,7728,8027,7363,1.0908,1.1229,1.0615,0.000124523,0.000128181,0.000121179
2649,7806,8142,7342,1.1018,1.1390,1.0585,0.00012578,0.000130018,0.000120834
2650,7962,8318,7280,1.1238,1.1636,1.0496,0.000128293,0.000132828,0.000119813
2651,7427,7598,6924,1.0483,1.0629,0.9982,0.000119673,0.000121331,0.000113954
2652,7433,7565,6818,1.0492,1.0582,0.9830,0.000119769,0.000120804,0.00011221
2653,7276,7622,6598,1.0270,1.0662,0.9512,0.00011724,0.000121714,0.000108589
2654,7112,7517,6443,1.0039,1.0515,0.9289,0.000114597,0.000120037,0.000106038
2655,6996,7758,6217,0.9875,1.0852,0.8963,0.000112728,0.000123886,0.000102319
2656,6761,7336,6207,0.9543,1.0262,0.8949,0.000108941,0.000117147,0.000102154
2657,6763,6943,6306,0.9546,0.9712,0.9091,0.000108974,0.000110871,0.000103783
2658,6583,6861,6328,0.9292,0.9598,0.9123,0.000106073,0.000109562,0.000104145
2659,6676,6984,6431,0.9423,0.9770,0.9272,0.000107572,0.000111526,0.000105841
2660,6839,6994,6445,0.9653,0.9784,0.9292,0.000110198,0.000111685,0.000106071
2661,6590,6705,6359,0.9302,0.9379,0.9168,0.000106186,0.00010707,0.000104656
2662,6040,6268,6056,0.8526,0.8768,0.8731,9.73237E-05,0.000100092,9.9669E-05
2663,5850,6350,5825,0.8257,0.8883,0.8398,9.42622E-05,0.000101402,9.58672E-05
2664,5966,6073,5661,0.8421,0.8495,0.8162,9.61313E-05,9.69782E-05,9.31681E-05
2665,6095,6285,5683,0.8603,0.8792,0.8193,9.82099E-05,0.000100364,9.35302E-05
2666,6103,6402,5772,0.8614,0.8956,0.8322,9.83388E-05,0.000102232,9.49949E-05
2667,5911,6084,5744,0.8343,0.8511,0.8281,9.52451E-05,9.71539E-05,9.45341E-05
2668,6286,6314,5724,0.8873,0.8832,0.8252,0.000101288,0.000100827,9.42049E-05
2669,6699,6900,5774,0.9456,0.9652,0.8324,0.000107942,0.000110184,9.50278E-05
2670,7280,7554,5734,1.0276,1.0567,0.8267,0.000117304,0.000120628,9.43695E-05
2671,7585,7883,5952,1.0706,1.1027,0.8581,0.000122219,0.000125882,9.79573E-05
2672,7554,7860,6225,1.0663,1.0995,0.8975,0.000121719,0.000125514,0.00010245
2673,7673,7878,6471,1.0831,1.1020,0.9329,0.000123637,0.000125802,0.000106499
2674,7863,7993,6070,1.1099,1.1181,0.8751,0.000126698,0.000127638,9.98994E-05
2675,7328,7516,6271,1.0344,1.0514,0.9041,0.000118077,0.000120021,0.000103207
2676,7350,7548,6376,1.0375,1.0559,0.9192,0.000118432,0.000120532,0.000104935
2677,7224,7329,6551,1.0197,1.0252,0.9445,0.000116402,0.000117035,0.000107816
2678,7042,7185,6497,0.9940,1.0051,0.9367,0.000113469,0.000114735,0.000106927
2679,6979,7089,6448,0.9851,0.9917,0.9296,0.000112454,0.000113202,0.00010612
2680,6722,6879,6648,0.9488,0.9623,0.9584,0.000108313,0.000109849,0.000109412
2681,6701,6919,6538,0.9459,0.9679,0.9426,0.000107975,0.000110488,0.000107602
2682,6503,6855,6038,0.9179,0.9589,0.8705,0.000104784,0.000109466,9.93727E-05
2683,6524,6899,5872,0.9209,0.9651,0.8466,0.000105122,0.000110168,9.66407E-05
2684,6745,6855,5794,0.9521,0.9589,0.8353,0.000108683,0.000109466,9.5357E-05
2685,6525,6549,5701,0.9210,0.9161,0.8219,0.000105139,0.000104579,9.38264E-05
2686,6059,6242,5524,0.8552,0.8732,0.7964,9.76298E-05,9.96769E-05,9.09134E-05
2687,5882,6175,5736,0.8303,0.8638,0.8270,9.47778E-05,9.8607E-05,9.44024E-05
2688,5757,6049,5939,0.8126,0.8462,0.8562,9.27636E-05,9.6595E-05,9.77434E-05
2689,5731,5983,6049,0.8089,0.8369,0.8721,9.23447E-05,9.5541E-05,9.95537E-05
2690,5704,6188,6100,0.8051,0.8656,0.8794,9.19096E-05,9.88146E-05,0.000100393
2691,5571,6101,6018,0.7864,0.8534,0.8676,8.97666E-05,9.74253E-05,9.90436E-05
2692,5989,6160,6032,0.8454,0.8617,0.8696,9.65019E-05,9.83675E-05,9.9274E-05
2693,6668,6653,5970,0.9412,0.9307,0.8607,0.000107443,0.00010624,9.82536E-05
2694,7246,7357,5906,1.0228,1.0291,0.8515,0.000116756,0.000117482,9.72003E-05
2695,7632,7744,6012,1.0773,1.0833,0.8668,0.000122976,0.000123662,9.89448E-05
2696,7589,7740,6216,1.0712,1.0827,0.8962,0.000122283,0.000123598,0.000102302
2697,7704,7833,6326,1.0874,1.0957,0.9120,0.000124136,0.000125083,0.000104113
2698,8031,7935,6364,1.1336,1.1100,0.9175,0.000129405,0.000126712,0.000104738
2699,7379,7506,6428,1.0416,1.0500,0.9267,0.000118899,0.000119861,0.000105791
2700,7395,7370,6234,1.0438,1.0310,0.8988,0.000119157,0.00011769,0.000102598
2701,7503,7227,6069,1.0591,1.0110,0.8750,0.000120897,0.000115406,9.98829E-05
2702,7366,7227,6025,1.0397,1.0110,0.8686,0.00011869,0.000115406,9.91588E-05
2703,7206,6887,6007,1.0171,0.9634,0.8660,0.000116112,0.000109977,9.88625E-05
2704,6993,6838,6180,0.9871,0.9565,0.8910,0.00011268,0.000109194,0.00010171
2705,6688,6880,6454,0.9440,0.9624,0.9305,0.000107765,0.000109865,0.000106219
2706,6611,6830,5683,0.9332,0.9554,0.8193,0.000106524,0.000109067,9.35302E-05
2707,6685,6828,5838,0.9436,0.9551,0.8417,0.000107717,0.000109035,9.60811E-05
2708,6785,6653,5805,0.9577,0.9307,0.8369,0.000109328,0.00010624,9.5538E-05
2709,6551,6463,5740,0.9247,0.9041,0.8275,0.000105558,0.000103206,9.44683E-05
2710,6121,6092,5499,0.8640,0.8522,0.7928,9.86288E-05,9.72816E-05,9.05019E-05
2711,5894,5882,5495,0.8319,0.8228,0.7922,9.49712E-05,9.39282E-05,9.04361E-05
2712,5809,5972,6046,0.8199,0.8354,0.8717,9.36015E-05,9.53654E-05,9.95044E-05
2713,5729,6148,6165,0.8087,0.8600,0.8888,9.23125E-05,9.81759E-05,0.000101463
2714,5836,6138,6197,0.8238,0.8586,0.8934,9.40366E-05,9.80162E-05,0.00010199
2715,5692,5888,6201,0.8034,0.8237,0.8940,9.17163E-05,9.4024E-05,0.000102055
2716,5928,6081,6568,0.8367,0.8506,0.9469,9.5519E-05,9.7106E-05,0.000108095
2717,6634,6155,6495,0.9364,0.8610,0.9364,0.000106895,9.82876E-05,0.000106894
2718,7238,5990,6959,1.0217,0.8379,1.0033,0.000116627,9.56528E-05,0.00011453
2719,7574,6174,7199,1.0691,0.8637,1.0379,0.000122041,9.85911E-05,0.00011848
2720,7547,6313,7103,1.0653,0.8831,1.0240,0.000121606,0.000100811,0.0001169
2721,7611,6489,7120,1.0743,0.9077,1.0265,0.000122638,0.000103621,0.00011718
2722,7755,6761,7212,1.0946,0.9458,1.0398,0.000124958,0.000107965,0.000118694
2723,7254,6851,6811,1.0239,0.9584,0.9819,0.000116885,0.000109402,0.000112095
2724,7222,6961,6862,1.0194,0.9737,0.9893,0.000116369,0.000111158,0.000112934
2725,7027,6839,7264,0.9919,0.9567,1.0473,0.000113227,0.00010921,0.00011955
2726,6816,7024,7263,0.9621,0.9826,1.0471,0.000109828,0.000112164,0.000119534
2727,6663,7116,6487,0.9405,0.9954,0.9352,0.000107362,0.000113634,0.000106762
2728,6578,7165,6374,0.9285,1.0023,0.9189,0.000105993,0.000114416,0.000104903
2729,6561,6974,6358,0.9261,0.9756,0.9166,0.000105719,0.000111366,0.000104639
2730,6347,6935,6200,0.8959,0.9701,0.8939,0.00010227,0.000110743,0.000102039
2731,6389,6637,6277,0.9018,0.9284,0.9050,0.000102947,0.000105985,0.000103306
2732,6543,6391,6308,0.9236,0.8940,0.9094,0.000105429,0.000102056,0.000103816
2733,6346,6255,6189,0.8957,0.8750,0.8923,0.000102254,9.98845E-05,0.000101858
2734,5982,6129,5762,0.8444,0.8574,0.8307,9.63891E-05,9.78725E-05,9.48303E-05
2735,5865,6735,6109,0.8279,0.9421,0.8807,9.45039E-05,0.00010755,0.000100541
2736,6070,6595,6205,0.8568,0.9225,0.8946,9.78071E-05,0.000105314,0.000102121
2737,6025,6537,6141,0.8504,0.9144,0.8854,9.7082E-05,0.000104388,0.000101068
2738,5862,6501,6230,0.8274,0.9094,0.8982,9.44555E-05,0.000103813,0.000102533
2739,5595,6316,6128,0.7897,0.8835,0.8835,9.01533E-05,0.000100859,0.000100854
2740,5691,6296,6248,0.8033,0.8807,0.9008,9.17002E-05,0.000100539,0.000102829
2741,5787,6175,6381,0.8168,0.8638,0.9200,9.3247E-05,9.8607E-05,0.000105018
2742,5904,6114,6860,0.8334,0.8553,0.9890,9.51323E-05,9.76329E-05,0.000112901
2743,6272,6406,7275,0.8853,0.8961,1.0488,0.000101062,0.000102296,0.000119731
2744,6222,6775,7339,0.8782,0.9477,1.0581,0.000100256,0.000108188,0.000120784
2745,6332,6951,7604,0.8938,0.9723,1.0963,0.000102029,0.000110999,0.000125146
2746,6491,7065,7889,0.9162,0.9883,1.1374,0.000104591,0.000112819,0.000129836
2747,6474,6974,7473,0.9138,0.9756,1.0774,0.000104317,0.000111366,0.00012299
2748,6821,6800,7651,0.9628,0.9512,1.1031,0.000109908,0.000108587,0.000125919
2749,6889,6820,7693,0.9724,0.9540,1.1091,0.000111004,0.000108907,0.000126611
2750,6788,6770,7585,0.9581,0.9470,1.0935,0.000109376,0.000108108,0.000124833
2751,6694,6953,7592,0.9449,0.9726,1.0945,0.000107862,0.000111031,0.000124948
2752,6491,7068,7275,0.9162,0.9887,1.0488,0.000104591,0.000112867,0.000119731
2753,6468,6746,7302,0.9130,0.9437,1.0527,0.00010422,0.000107725,0.000120175
2754,6357,6400,7155,0.8973,0.8953,1.0315,0.000102432,0.0001022,0.000117756
2755,6336,6539,6916,0.8943,0.9147,0.9971,0.000102093,0.00010442,0.000113823
2756,6313,6511,6608,0.8911,0.9108,0.9527,0.000101723,0.000103973,0.000108754
2757,6192,6324,6430,0.8740,0.8846,0.9270,9.97729E-05,0.000100986,0.000105824
2758,5839,6036,6025,0.8242,0.8444,0.8686,9.40849E-05,9.63874E-05,9.91588E-05
2759,5996,5997,5871,0.8463,0.8389,0.8464,9.66147E-05,9.57646E-05,9.66242E-05
2760,5907,6065,5860,0.8338,0.8484,0.8448,9.51806E-05,9.68505E-05,9.64432E-05
2761,5855,6313,6170,0.8264,0.8831,0.8895,9.43427E-05,0.000100811,0.000101545
2762,5765,6442,6569,0.8137,0.9011,0.9471,9.28926E-05,0.000102871,0.000108112
2763,5604,6471,6534,0.7910,0.9052,0.9420,9.02983E-05,0.000103334,0.000107536
2764,5642,6781,6601,0.7964,0.9486,0.9517,9.09106E-05,0.000108284,0.000108639
2765,5562,7156,6781,0.7851,1.0010,0.9776,8.96216E-05,0.000114272,0.000111601
2766,5505,7867,7433,0.7770,1.1005,1.0716,8.87031E-05,0.000125626,0.000122331
2767,5760,8260,7966,0.8130,1.1555,1.1485,9.2812E-05,0.000131902,0.000131104
2768,5906,8308,8070,0.8336,1.1622,1.1635,9.51645E-05,0.000132668,0.000132815
2769,6059,8460,8269,0.8552,1.1834,1.1922,9.76298E-05,0.000135096,0.00013609
2770,6218,8540,8356,0.8777,1.1946,1.2047,0.000100192,0.000136373,0.000137522
2771,6395,8070,7952,0.9027,1.1289,1.1464,0.000103044,0.000128868,0.000130873
2772,6191,8011,7924,0.8739,1.1206,1.1424,9.97568E-05,0.000127926,0.000130412
2773,6002,7872,7765,0.8472,1.1012,1.1195,9.67114E-05,0.000125706,0.000127795
2774,5887,7742,7652,0.8310,1.0830,1.1032,9.48584E-05,0.00012363,0.000125936
2775,5958,7644,7554,0.8410,1.0693,1.0891,9.60024E-05,0.000122065,0.000124323
2776,6162,7475,7424,0.8698,1.0456,1.0703,9.92895E-05,0.000119366,0.000122183
2777,6267,7517,7450,0.8846,1.0515,1.0741,0.000100981,0.000120037,0.000122611
2778,5993,7467,7320,0.8459,1.0445,1.0553,9.65664E-05,0.000119239,0.000120472
2779,6093,7399,7177,0.8600,1.0350,1.0347,9.81777E-05,0.000118153,0.000118118
2780,6196,7215,6919,0.8746,1.0093,0.9975,9.98373E-05,0.000115215,0.000113872
2781,5971,6940,6687,0.8428,0.9708,0.9641,9.62119E-05,0.000110823,0.000110054
2782,5582,6547,6345,0.7879,0.9158,0.9148,8.99438E-05,0.000104547,0.000104425
2783,5428,6402,6050,0.7662,0.8956,0.8722,8.74624E-05,0.000102232,9.95702E-05
2784,5669,6592,6174,0.8002,0.9221,0.8901,9.13457E-05,0.000105266,0.000101611
2785,5747,6600,6075,0.8112,0.9232,0.8758,9.26025E-05,0.000105394,9.99817E-05
2786,5785,6736,6014,0.8166,0.9423,0.8670,9.32148E-05,0.000107565,9.89777E-05
2787,5759,6368,5787,0.8129,0.8908,0.8343,9.27959E-05,0.000101689,9.52418E-05
2788,6042,6716,6131,0.8528,0.9395,0.8839,9.73559E-05,0.000107246,0.000100903
2789,6402,7128,6835,0.9037,0.9971,0.9854,0.000103157,0.000113825,0.00011249
2790,7210,7866,7487,1.0177,1.1003,1.0794,0.000116176,0.00012561,0.00012322
2791,7678,8304,7905,1.0838,1.1616,1.1397,0.000123717,0.000132604,0.0001301
2792,7748,8499,8022,1.0936,1.1889,1.1565,0.000124845,0.000135718,0.000132025
2793,7891,8663,8156,1.1138,1.2118,1.1759,0.000127149,0.000138337,0.000134231
2794,8128,8691,8234,1.1473,1.2158,1.1871,0.000130968,0.000138784,0.000135514
2795,7567,8273,7924,1.0681,1.1573,1.1424,0.000121929,0.000132109,0.000130412
2796,7623,8343,7995,1.0760,1.1671,1.1526,0.000122831,0.000133227,0.000131581
2797,7626,8197,7927,1.0764,1.1466,1.1428,0.000122879,0.000130896,0.000130462
2798,7450,8060,7839,1.0516,1.1275,1.1302,0.000120043,0.000128708,0.000129013
2799,7413,7922,7765,1.0464,1.1082,1.1195,0.000119447,0.000126504,0.000127795
2800,7323,7737,7616,1.0337,1.0823,1.0980,0.000117997,0.00012355,0.000125343
2801,7297,7757,7598,1.0300,1.0851,1.0954,0.000117578,0.00012387,0.000125047
2802,7016,7625,7533,0.9903,1.0666,1.0860,0.00011305,0.000121762,0.000123977
2803,6900,7591,7357,0.9739,1.0619,1.0607,0.000111181,0.000121219,0.000121081
2804,6880,7458,7093,0.9711,1.0433,1.0226,0.000110859,0.000119095,0.000116736
2805,6639,7201,6884,0.9371,1.0073,0.9925,0.000106975,0.000114991,0.000113296
2806,6063,6766,6591,0.8558,0.9465,0.9502,9.76943E-05,0.000108045,0.000108474
2807,5834,6746,6253,0.8235,0.9437,0.9015,9.40044E-05,0.000107725,0.000102911
2808,5831,6708,6353,0.8231,0.9384,0.9159,9.3956E-05,0.000107118,0.000104557
2809,5762,6863,6419,0.8133,0.9600,0.9254,9.28442E-05,0.000109594,0.000105643
2810,5902,6992,6358,0.8331,0.9781,0.9166,9.51001E-05,0.000111653,0.000104639
2811,5687,6890,6117,0.8027,0.9638,0.8819,9.16357E-05,0.000110025,0.000100673
2812,6083,7052,6438,0.8586,0.9865,0.9282,9.80165E-05,0.000112612,0.000105956
2813,6776,7536,6989,0.9564,1.0542,1.0076,0.000109183,0.00012034,0.000115024
2814,7595,8066,7608,1.0720,1.1283,1.0969,0.00012238,0.000128804,0.000125212
