Hour,Export [MW],,,Import [MW],,,Export [MW/MWmax],,,Import [MW/MWmax],,
124,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
125,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
126,5200,5200,5200,1536,936,2900,1,1,1,0.48,0.2925,0.90625
127,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
128,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
129,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
130,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
131,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
132,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
133,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
134,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
135,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
136,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
137,5200,5200,5200,1736,936,3200,1,1,1,0.5425,0.2925,1
138,5200,5200,5200,1736,1436,3200,1,1,1,0.5425,0.44875,1
139,5200,5200,5200,1736,1936,3200,1,1,1,0.5425,0.605,1
140,5200,5200,5200,1736,1936,3200,1,1,1,0.5425,0.605,1
141,5200,5200,5200,1736,1936,3200,1,1,1,0.5425,0.605,1
142,5200,5200,5200,1536,1436,3200,1,1,1,0.48,0.44875,1
143,5200,5200,5200,1536,936,3200,1,1,1,0.48,0.2925,1
144,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
145,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
146,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
147,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
148,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
149,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
150,5200,5200,5200,1536,1436,2400,1,1,1,0.48,0.44875,0.75
151,5200,5200,5200,1736,1936,2400,1,1,1,0.5425,0.605,0.75
152,5200,5200,5200,1736,1936,2400,1,1,1,0.5425,0.605,0.75
153,5200,5200,5200,1736,1936,2400,1,1,1,0.5425,0.605,0.75
154,5200,5200,5200,1736,1936,2400,1,1,1,0.5425,0.605,0.75
155,5200,5200,5200,1736,1936,2400,1,1,1,0.5425,0.605,0.75
156,5200,5200,5200,1736,1936,2800,1,1,1,0.5425,0.605,0.875
157,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
158,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
159,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
160,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
161,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
162,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
163,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
164,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
165,5200,5200,5200,1736,1650,2800,1,1,1,0.5425,0.515625,0.875
166,5200,5200,5200,1536,1436,2800,1,1,1,0.48,0.44875,0.875
167,5200,5200,5200,1536,936,2800,1,1,1,0.48,0.2925,0.875
168,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
169,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
170,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
171,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
172,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
173,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
174,5200,5200,5200,1436,936,2900,1,1,1,0.44875,0.2925,0.90625
175,5200,5200,5200,1636,1436,2936,1,1,1,0.51125,0.44875,0.9175
176,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
177,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
178,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
179,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
180,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
181,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
182,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
183,5200,5200,5200,1636,1936,2936,1,1,1,0.51125,0.605,0.9175
184,5200,5200,5200,1636,1936,2936,1,1,1,0.51125,0.605,0.9175
185,5200,5200,5200,1636,1650,2936,1,1,1,0.51125,0.515625,0.9175
