,Export,,,Import,,,Export [MW/MWmax],,,Import [MW/MWmax],,
93,3710,4240,4240,1910,1810,1810,0.875,0.935569285,0.935569285,1,0.947643979,0.947643979
94,3511,4240,4240,1910,1810,1810,0.828066038,0.935569285,0.935569285,1,0.947643979,0.947643979
95,2761,3710,3710,1910,1910,1910,0.651179245,0.818623124,0.818623124,1,1,1
96,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
97,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
98,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
99,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
100,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
101,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
102,2011,3710,3710,1910,1910,1910,0.474292453,0.818623124,0.818623124,1,1,1
103,2011,4240,4240,1810,1810,1810,0.474292453,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
104,2011,4240,4240,1810,1810,1810,0.474292453,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
105,2011,4240,3816,1810,1810,1810,0.474292453,0.935569285,0.842012357,0.947643979,0.947643979,0.947643979
106,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
107,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
108,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
109,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
110,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
111,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
112,2011,4240,3016,1810,1810,1810,0.474292453,0.935569285,0.66548985,0.947643979,0.947643979,0.947643979
113,2761,4240,3816,1810,1810,1810,0.651179245,0.935569285,0.842012357,0.947643979,0.947643979,0.947643979
114,3511,4240,4240,1810,1810,1810,0.828066038,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
115,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
116,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
117,4240,4240,4240,1810,1810,1810,1,0.935569285,0.935569285,0.947643979,0.947643979,0.947643979
118,3511,4013,3611,1810,1810,1810,0.828066038,0.885481024,0.796778464,0.947643979,0.947643979,0.947643979
119,2761,3263,2811,1910,1910,1910,0.651179245,0.719991174,0.620255958,1,1,1
120,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
121,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
122,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
123,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
124,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
125,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
126,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
127,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
128,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
129,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
130,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
131,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
132,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
133,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
134,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
135,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
136,2011,2513,2011,1910,1910,1910,0.474292453,0.554501324,0.443733451,1,1,1
137,2761,3263,2811,1910,1910,1910,0.651179245,0.719991174,0.620255958,1,1,1
138,3511,3710,3611,1910,1910,1910,0.828066038,0.818623124,0.796778464,1,1,1
139,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
140,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
141,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
142,3710,3710,3710,1910,1910,1910,0.875,0.818623124,0.818623124,1,1,1
143,3263,3263,3710,1910,1910,1910,0.769575472,0.719991174,0.818623124,1,1,1
144,2513,2513,3016,1910,1910,1910,0.592688679,0.554501324,0.66548985,1,1,1
145,2513,2513,3016,1910,1910,1910,0.592688679,0.554501324,0.66548985,1,1,1
146,2513,2513,3016,1910,1910,1910,0.592688679,0.554501324,0.66548985,1,1,1
147,2513,2513,3016,1910,1910,1910,0.592688679,0.554501324,0.66548985,1,1,1
